料理名,1人前の目安量(g),カロリー (kcal),たんぱく質 (g),脂質 (g),炭水化物 (g),食塩相当量 (g),category,dish_type
パスタ（ナポリタン）,1人前(約350g),550-750,15-25,20-35,70-90,2.5-3.5,高校生,主食
ハンバーグステーキ,200,450-650,25-35,30-45,15-30,1.5-2.5,洋食,主食
ビーフステーキ（ランプ）,200,500-700,40-55,35-55,0-5,0.8-1.5,洋食,主食
ポークソテー（ソテー）,180,400-550,30-40,25-40,10-20,1.5-2.5,洋食,主食
エビフライ（タルタル）,150,450-600,20-30,30-45,25-35,1.5-2.5,洋食,主食
ローストチキン,200,350-500,35-45,20-35,5-15,1.5-2.5,洋食,主食
スパゲッティ・ミートソース,350,500-700,25-35,15-30,70-90,2.5-3.5,洋食,主食
ペンネ・アラビアータ,300,400-550,15-25,10-20,60-80,2.0-3.0,洋食,主食
ラザニア（チーズ）,350,650-850,30-40,35-50,50-65,2.5-3.5,洋食,主食
ペスカトーレ,300,450-600,25-35,10-25,60-80,3.0-4.0,洋食,主食
マカロニグラタン,300,550-750,25-35,30-45,45-60,2.0-3.0,洋食,主食
ピザ・マルゲリータ,200,450-600,18-25,15-25,50-70,1.5-2.5,洋食,主食
クロワッサン,50,200-250,5-7,10-15,20-30,0.5-0.8,洋食,主食
フレンチトースト,150,350-500,10-15,15-25,35-50,0.8-1.5,洋食,主食
オムライス,450,650-850,20-30,30-45,70-90,2.0-3.0,洋食,主食
ドリア（海老）,400,600-800,25-35,30-45,50-70,2.5-3.5,洋食,主食
パエリア,300,400-550,20-30,10-20,50-70,2.0-3.0,洋食,主食
納豆,50,95,8.3,4.8,6,0.7,和食,副菜
冷奴,150,100-150,10-15,6-10,3-5,0.5-1.0,和食,副菜
きんぴらごぼう,50,80-120,2,3-6,10-15,0.8-1.2,和食,副菜
ひじきの煮物,50,50-80,3,2-4,5-10,0.8-1.2,和食,副菜
ほうれん草のお浸し,80,30-50,3,0.5,4-8,0.8-1.5,和食,副菜
ポテトサラダ（和風）,100,180-250,4-8,10-18,15-25,1.0-1.5,和食,副菜
筑前煮,100,100-150,5-10,3-6,15-20,1.0-1.5,和食,副菜
漬物（白菜漬け）,30,10-20,1,0.1,2,1.0-1.5,和食,副菜
味噌汁（わかめ）,180,30-50,3,1,4,1.5-2.0,和食,副菜
豚汁,250,180-250,10-15,10-15,10-15,2.0-3.0,和食,副菜
お吸い物,180,20-40,2,0.5,3,1.0-1.5,和食,副菜
茶碗蒸し,180,100-150,8-12,5-8,5-10,1.0-1.5,和食,副菜
けんちん汁,250,120-180,8-12,5-10,15-20,1.5-2.5,和食,副菜
ぜんざい,150,300-400,5-10,1-3,60-80,0.5-1.0,和食,副菜
餃子（焼き・5個）,120,200-300,8-12,10-20,20-30,1.0-1.5,中華,副菜
焼売（シュウマイ・4個）,90,150-250,8-12,8-15,15-20,0.8-1.2,中華,副菜
春巻（1本）,80,180-250,5-8,10-18,20-30,0.8-1.2,中華,副菜
小籠包（ショウロンポウ）,100,200-300,8-12,10-18,20-30,1.0-1.5,中華,副菜
棒々鶏（バンバンジー）,150,200-350,20-30,10-20,10-20,1.5-2.5,中華,副菜
ワンタンスープ,300,150-250,10-15,5-10,20-30,2.5-3.5,中華,副菜
ニラレバ炒め,200,300-450,25-35,15-30,10-20,2.0-3.0,中華,副菜
野菜炒め,200,200-350,10-15,15-25,10-20,1.5-2.5,中華,副菜
八宝菜,250,300-450,20-30,15-30,20-35,2.0-3.0,中華,副菜
かに玉,200,300-450,20-30,20-35,15-25,1.5-2.5,中華,副菜
バゲット（1/4本）,80,200-250,7-10,1-3,40-55,0.8-1.2,フレンチ,副菜
ポテトグラタン,150,250-400,10-15,15-25,20-30,1.0-2.0,フレンチ,副菜
フレンチフライ,100,300-400,4-6,15-25,35-45,0.5-1.0,フレンチ,副菜
エスプーマ（泡ソース）,30,50-100,1-3,3-8,5-10,0.1-0.5,フレンチ,副菜
キッシュ・ロレーヌ,150,350-500,15-20,25-35,25-35,1.5-2.0,フレンチ,副菜
クロックムッシュ,200,400-550,20-30,20-35,30-45,2.0-3.0,フレンチ,副菜
ガレット（ハム・卵）,200,300-450,15-25,15-25,25-40,1.5-2.5,フレンチ,副菜
カスレ,350,600-800,35-50,30-50,40-60,2.0-3.0,フレンチ,副菜
タルト・フランベ,150,350-450,10-15,20-30,30-45,1.5-2.5,フレンチ,副菜
ポタージュ・パルマンティエ,250,200-300,5-10,10-18,25-35,1.0-1.5,フレンチ,副菜
ショートケーキ,100,300-450,4-6,20-30,30-45,0.2-0.4,洋食,デザート
アップルパイ,120,350-450,3-5,15-25,40-60,0.5-0.8,洋食,デザート
チョコレートケーキ,100,400-550,5-8,25-40,40-55,0.2-0.5,洋食,デザート
パンケーキ（シロップ）,150,450-600,10-15,15-25,60-80,1.0-1.5,洋食,デザート
プリン,100,150-200,5-8,8-12,15-20,0.1-0.3,洋食,デザート
クレームブリュレ,150,300-450,5-8,20-30,25-40,0.2-0.5,フレンチ,デザート
チョコレートムース,100,250-400,5-8,15-30,20-35,0.1-0.3,フレンチ,デザート
マカロン（3個）,50,150-250,3-5,5-10,20-40,0.1-0.2,フレンチ,デザート
クレープ・シュゼット,150,300-450,5-10,10-20,40-60,0.5-1.0,フレンチ,デザート
タルトタタン,120,350-500,3-5,15-25,40-60,0.5-0.8,フレンチ,デザート
ガトーショコラ,100,400-550,5-8,25-40,40-55,0.2-0.5,フレンチ,デザート
カヌレ（1個）,60,180-250,3-5,5-10,30-45,0.2-0.5,フレンチ,デザート
杏仁豆腐,100,150-250,3-5,8-15,15-25,0.1-0.3,中華,デザート
ゴマ団子（2個）,80,200-300,3-5,10-20,25-40,0.2-0.5,中華,デザート
